Name,Sector,Address,City,"State or Province",Zip,Country,Phone,Url,"Revenue ($mlns)",Employees,"Ownership Status",Investors/Acquirers,"Buy M&A Count - Total","Avg. Buy Count Per Year (Last 5 Yrs)","Sell M&A Count - Total","Avg. Sell Count Per Year (Last 5 Yrs)"
MasterCard,"Financial Services","2000 Purchase Street",Purchase,"New York",10577,"United States","(914) 249-2000",www.mastercard.com,"18,884",24000,Public,,26,2.6,,
"Genuine Parts",Automotive,"2999 Circle 75 Parkway",Atlanta,Georgia,30339,"United States","(678) 934-5000",www.genpt.com,"18,871",50000,Public,,18,0.6,2,0.2
PACCAR,Automotive,"777-106th Avenue NE",Bellevue,Washington,98004,"United States","(425) 468-7400",www.paccar.com,"18,729",26000,Public,,2,,,
Kyndryl,"Information Technology","One Vanderbilt Avenue 15th Floor","New York","New York",10017,"United States","(212) 896-2098",www.kyndryl.com,"18,657",90000,Public,,,,,
Cognizant,"Information Technology","300 Frank West Burr Boulevard",Teaneck,"New Jersey",07666,"United States","(201) 801-0233",www.cognizant.com,"18,507",330600,Public,,50,4.8,1,0.2
Moderna,"Life Science","200 Technology Square",Cambridge,Massachusetts,02139,"United States","(617) 714-6500",www.modernatx.com,"18,471",2700,Public,,,,,
PG&E,Utilities,"77 Beale Street, PO Box 770000","San Francisco",California,94177,"United States","(415) 973-1000",www.pgecorp.com,"18,469",24000,Public,,,,,
"HF Sinclair","Oil/Gas Exploration","2828 North Harwood, Suite 1300",Dallas,Texas,75201,"United States","(214) 871-3555",www.hfsinclair.com,"18,389",4208,Public,,4,0.6,2,
Sherwin-Williams,Chemicals,"101 West Prospect Avenue",Cleveland,Ohio,44115,"United States","(216) 566-2000",www.sherwin-williams.com,"18,362",61031,Public,,16,0.8,,
"Texas Instruments",Semiconductors,"12500 TI Boulevard",Dallas,Texas,75243,"United States","(214) 479-3773",www.ti.com,"18,344",30000,Public,,29,,12,0.2
Emerson,Diversified,"8000 West Florissant Avenue, P.O. Box 4100","St. Louis",Missouri,63136,"United States","(314) 553-2000",www.emerson.com,"18,236",83500,Public,,64,2.8,26,1.4
"General Mills",Food,"Number 1 General Mills Boulevard",Minneapolis,Minnesota,55426,"United States","(763) 764-7600",www.generalmills.com,"18,127",35000,Public,,18,0.6,9,0.6
Landos,"Life Science","1800 Kraft Drive, Suite 216",Blacksburg,Virginia,24060,"United States","(540) 218-2232",www.landosbiopharma.com,"18,000",46,Public,,,,,
Viatris,"Life Science","1000 Mylan Boulevard",Canonsburg,Pennsylvania,15317,"United States","(724) 514-1800",www.viatris.com,"17,886",40000,Public,,13,0.4,1,0.2
"DISH Network",Media,"9601 South Meridian Boulevard",Englewood,Colorado,80112,"United States","(303) 723-1000",www.dish.com,"17,881",14500,Public,,6,0.8,,
"Pioneer Natural Resources","Oil/Gas Exploration","777 Hidden Ridge",Irving,Texas,75039,"United States","(972) 444-9001",www.pxd.com,"17,870",1932,Public,,4,0.4,4,0.6
L3Harris,Electronics,"1025 West NASA Boulevard",Melbourne,Florida,32919,"United States","(312) 727-9100",www.l3harris.com,"17,814",47000,Public,,29,0.4,20,1.8
OXY,"Oil/Gas Exploration","5 Greenway Plaza Suite 110","Los Angeles",California,90024,"United States","(713) 215-7000",www.oxy.com,"17,809",11800,Public,,7,0.2,4,0.6
"Tenet Health","Healthcare Services","14201 Dallas Parkway",Dallas,Texas,75254,"United States","(469) 893-2200",www.tenethealth.com,"17,640",85800,Public,,6,0.2,10,0.4
Avnet,Distribution,"2211 South 47th Street",Phoenix,Arizona,85034,"United States","(480) 643-2000",www.avnet.com,"17,634",14600,Public,,78,0.4,6,0.2
WestRock,Packaging,"1000 Abernathy Road NE",Richmond,Virginia,30328,"United States","(770) 448-2193",www.westrock.com,"17,579",50000,Public,,13,0.4,3,0.4
"Lincoln Financial Group",Insurance,"150 North Radnor Chester Road Suite A305",Radno,Pennsylvania,19087,"United States","(484) 583-1400",www.lfg.com,"17,556",10848,Public,,3,0.2,1,
Carrier,Machinery,"One Carrier Place ",Farmington,Connecticut,06034,"United States","(860) 674-3000",www.carrier.com,"17,456",56000,Public,,14,1.0,10,0.6
Colgate-Palmolive,"Consumer Products","300 Park Avenue","New York","New York",10022,"United States","(212) 310-2000",www.colgatepalmolive.com,"17,421",33800,Public,,8,0.6,3,
"American Airlines",Airlines,"1 Skyview Drive","Fort Worth",Texas,76155,"United States","(817) 963-1234",www.aa.com,"17,337",113200,Public,,4,0.6,2,
Stryker,"Medical Products","2825 Airview Boulevard",Kalamazoo,Michigan,49002,"United States","(269) 385-2600",www.stryker.com,"17,108",46000,Public,,43,2.2,5,0.6
"NextEra Energy",Utilities,"700 Universe Boulevard","Juno Beach",Florida,33408,"United States","(561) 694-4000",www.nexteraenergy.com,"17,069",15000,Public,,5,0.4,2,
AEP,Utilities,"1 Riverside Plaza",Columbus,Ohio,43215,"United States","(614) 716-1000",www.aep.com,"16,792",16688,Public,,5,0.2,4,0.2
"Western Digital","Technology Hardware","5601 Great Oaks Parkway","San Jose",California,95119,"United States","(408) 717-6000",www.westerndigital.com,"16,736",63800,Public,,15,0.4,2,0.4
BJ's,Retail,"25 Research Drive",Westborough,Massachusetts,01581,"United States","(774) 512-7400",www.bjs.com,"16,667",34000,Public,,,,,
"Kinder Morgan","Energy Services and Equipment","1001 Louisiana Street, Suite 1000",Houston,Texas,77002,"United States","(713) 369-9000",www.kindermorgan.com,"16,610",10529,Public,"EIG Global Energy Partners",7,0.6,5,0.2
Expeditors,Transportation,"1015 Third Avenue",Seattle,Washington,98104,"United States","(206) 674-3400",www.expeditors.com,"16,524",19867,Public,,1,0.2,,
"DXC Technology","Information Technology","20408 Bashan Drive, Suite 231",Ashburn,Virginia,20147,"United States","(703) 245-9675",www.dxc.technology,"16,265",130000,Public,,44,2.4,12,1.2
XPO,Transportation,"Five Greenwich Office Park",Greenwich,Connecticut,06831,"United States","(855) 976-6951",www.xpo.com,"16,252",108000,Public,,17,0.2,2,0.2
"C.H. Robinson Worldwide",Transportation,"14701 Charlson Road","Eden Prairie",Minnesota,55347,"United States","(952) 937-8500",www.chrobinson.com,"16,207",14997,Public,,24,0.8,1,
BlackRock,"Financial Services","55 East 52nd Street","New York","New York",10055,"United States","(212) 810-5300",www.blackrock.com,"16,205",16700,Public,,7,0.6,1,0.2
LabCorp,"Test/Measurement Equipment","531 South Spring Street",Burlington,"North Carolina",27215,"United States","(844) 625-0967",www.labcorp.com,"16,121",67950,Public,,42,1.6,2,0.4
ADP,"Business Services","One ADP Boulevard",Roseland,"New Jersey",07068,"United States","(973) 974-5000",www.adp.com,"16,047",60000,Public,,23,0.4,7,
Adobe,Software,"345 Park Avenue","San Jose",California,95110,"United States","(408) 536-6000",www.adobe.com,"15,785",22516,Public,,53,1.6,,
Corteva,Agriculture,"9330 Zionsville Road",Indianapolis,Indiana,46268,"United States","(833) 267-8382",www.corteva.com,"15,655",21000,Public,,1,0.2,1,0.2
"Rocket Companies","Business Services","1050 Woodward Avenue",Detroit,Michigan,48226,"United States","(313) 373-7990",www.rocketcompanies.com,"15,549",26000,Public,,1,0.2,,
"BNY Mellon","Financial Services","240 Greenwich Street","New York","New York",10286,"United States","(212) 495-1784",www.bnymellon.com,"15,506",48500,Public,,8,0.2,4,0.2
Synchrony,"Financial Services","777 Long Ridge Road",Stamford,Connecticut,06902,"United States","(203) 585-2400",www.synchrony.com,"15,456",16500,Public,,3,0.4,,
Halliburton,"Energy Services and Equipment","3000 North Sam Houston Parkway East",Houston,Texas,77072,"United States","(281) 871-2699",www.halliburton.com,"15,295",40000,Public,,20,,2,
"Waste Management",Environmental,"800 Capitol Street",Houston,Texas,77002,"United States","(713) 512-6200",www.wm.com,"15,218",48250,Public,,20,1.0,5,
"Fidelity National Financial",Insurance,"601 Riverside Avenue",Jacksonville,Florida,32204,"United States","(904) 854-8100",www.fnf.com,"15,054",28290,Public,,29,1.0,8,0.6
DTE,Utilities,"One Energy Plaza",Detroit,Michigan,48226,"United States","(313) 235-4000",www.dteenergy.com,"14,964",10400,Public,,4,,1,
"Edison International",Utilities,"2244 Walnut Grove Avenue, PO Box 976",Rosemead,California,91770,"United States","(626) 302-2222",www.edison.com,"14,905",13303,Public,,2,,2,0.2
Fiserv,"Information Technology","255 Fiserv Drive ",Brookfield,Wisconsin,53008,"United States","(800) 877-8021",www.fiserv.com,"14,852",44000,Public,"KKR & Co. L.P.",41,1.6,8,0.4
BorgWarner,Automotive,"3850 Hamlin Road","Auburn Hills",Michigan,48326,"United States","(248) 754-9200",www.borgwarner.com,"14,838",49300,Public,,15,1.6,8,0.6
Nordstrom,Retail,"1617 Sixth Avenue",Seattle,Washington,98101,"United States","(206) 628-2111",www.nordstrom.com,"14,789",72000,Public,,7,0.4,5,
Principal,Insurance,"711 High Street","Des Moines",Idaho,50392,"United States","(515) 247-5111",www.principal.com,"14,742",17400,Public,,7,0.4,,
AutoZone,Retail,"123 South Front Street ",Memphis,Tennessee,38103,"United States","(901) 495-6500",www.autozone.com,"14,630",60000,Public,,4,,2,0.4
"Lam Research",Semiconductors,"4650 Cushing Parkway",Fremont,California,94538,"United States","(510) 572-0200",www.lamresearch.com,"14,626",16300,Public,,6,,,
RGA,Insurance,"16600 Swingley Ridge Road",Chesterfield,Missouri,63017,"United States","(636) 736-7000",www.rgare.com,"14,596",3600,Public,,4,0.2,1,0.2
"Stanley Black & Decker",Diversified,"1000 Stanley Drive","New Britain",Connecticut,06053,"United States","(860) 225-5111",www.stanleyblackanddecker.com,"14,535",53000,Public,,27,1.0,9,0.8
ITW,Manufacturing,"155 Harlem Avenue",Glenview,Illinois,60025,"United States","(847) 724-7500",www.itw.com,"14,455",45000,Public,,48,0.2,13,0.6
"The Estee Lauder Companies","Consumer Products","767 Fifth Avenue","New York","New York",10153,"United States","(212) 572-4200",www.elcompanies.com,"14,294",48000,Public,,15,0.2,1,
Kellogg,Food,"1 Kellogg Square","Battle Creek",Michigan,49016,"United States","(269) 961-2000",www.kelloggcompany.com,"14,181",31000,Public,,15,0.2,4,0.4
"Qurate Retail",E-Commerce,"12300 Liberty Blvd.",Englewood,Colorado,"80112 ","United States","(720) 875-5300",www.qurateretail.com,"14,177",26508,Public,,1,,,
"Dominion Energy",Utilities,"120 Tredegar Street",Richmond,Virginia,23219,"United States","(804) 819-2000",www.dominionenergy.com,"14,172",17300,Public,,27,0.6,10,0.4
Wayfair,E-Commerce,"4 Copley Place, 7th Floor",Boston,Massachusetts,02116,"United States","(617) 532-6100",www.wayfair.com,"14,145",16200,Public,,3,,1,0.2
Jacobs,Engineering,"1999 Bryan Street Suite 1200",Dallas,Texas,75201,"United States","(214) 583-8500",www.jacobs.com,"14,093",52000,Public,,32,1.2,1,0.2
Corning,Manufacturing,"One Riverfront Plaza",Corning,"New York",14831,"United States","(607) 974-9000",www.corning.com,"14,082",61200,Public,,17,,6,0.2
PulteGroup,Construction,"3350 Peachtree Road NE Suite 1500",Atlanta,Georgia,30326,"United States","(404) 978-6400",www.pultegroupinc.com,"13,927",6182,Public,,3,0.2,,
"FIS Global","Financial Services","601 Riverside Avenue",Jacksonville,Florida,32204,"United States","(904) 438-6000",www.fisglobal.com,"13,877",65000,Public,,19,0.4,4,0.4
IQVIA,"Life Science","4820 Emperor Boulevard ",Durham,"North Carolina",27703,"United States","(919) 998-2000",www.iqvia.com,"13,874",79000,Public,,18,0.4,1,
Marriott,Leisure,"10400 Fernwood Road",Bethesda,Maryland,20817,"United States","(301) 380-3000",www.marriott.com,"13,857",120000,Public,,3,0.2,3,0.2
Berry,Plastics,"101 Oakley Street",Evansville,Indiana,47710,"United States","(812) 424-2904",www.berryglobal.com,"13,850",47000,Public,,14,0.4,2,0.4
PPG,Chemicals,"One PPG Place",Pittsburgh,Pennsylvania,15272,"United States","(412) 434-3131",www.ppg.com,"13,834",46900,Public,,44,2.4,3,
Ball,Packaging,"9200 West 108th Circle PO Box 5000",Westminster,Colorado,80021,"United States","(303) 469-3131",www.ball.com,"13,811",24300,Public,,13,0.2,5,0.6
GAP,Apparel/Textiles,"2 Folsom Street","San Francisco",California,94105,"United States","(415) 427-0100",www.gapinc.com,"13,800",117000,Public,,7,0.6,4,0.6
Loews,Diversified,"667 Madison Avenue","New York","New York",10065,"United States","(212) 521-2000",www.loews.com,"13,742",10340,Public,,1,,1,0.2
Leidos,"Information Technology","1750 Presidents Street",Reston,Virginia,20190,"United States","(571) 526-6000",www.leidos.com,"13,737",43000,Public,"Lockheed Martin Corp.",17,1.4,3,0.2
"Parker Hannifin",Machinery,"6035 Parkland Boulevard",Cleveland,Ohio,44124,"United States","(216) 896-3000",www.parker.com,"13,696",50520,Public,,73,0.4,10,0.8
"Consolidated Edison",Utilities,"4 Irving Place","New York","New York",10003,"United States","(212) 460-4600",www.conedison.com,"13,676",13871,Public,,3,0.2,3,0.6
"Ameriprise Financial","Financial Services","55 Ameriprise Financial Center",Minneapolis,Minnesota,55474,"United States","(612) 671-2052",www.ameriprise.com,"13,502",12000,Public,,6,0.2,1,0.2
AECOM,"Business Services","300 South Grand Avenue 9th Floor","Los Angeles",California,90071,"United States","(213) 593-8100",www.aecom.com,"13,240",54000,Public,,12,0.2,5,0.8
"Omnicom Group",Marketing,"280 Park Avenue","New York","New York",10017,"United States","(212) 415-3600",www.omnicomgroup.com,"13,171",64100,Public,,25,1.4,,
LKQ,Automotive,"500 West Madison Street, Suite 2800",Chicago,Illinois,60661,"United States","(312) 621-1950",www.lkqcorp.com,"13,089",46000,Public,,44,0.6,3,0.2
Markel,Insurance,"4521 Highwoods Parkway ","Glen Allen",Virginia,23060,"United States","(804) 747-0136",www.markel.com,"12,910",20300,Public,"Alliance Holdings",13,1.0,,
Fox,Media,"1211 Avenue of the Americas","New York","New York",10036,"United States","(212) 852-7000",www.foxcorporation.com,"12,909",9000,Public,,4,0.8,,
Carvana,E-Commerce,"1930 West Rio Salado Parkway",Tempe,Arizona,85281,"United States","(480) 719-8809",www.carvana.com,"12,814",21000,Public,,3,0.4,,
"Baxter International","Medical Products","One Baxter Parkway",Deerfield,Illinois,60015,"United States","(224) 948-2000",www.baxter.com,"12,784",60000,Public,,20,1.0,5,
OTIS,Machinery,"1 Carrier Place",Farmington,Connecticut,06032,"United States","(800) 233-6847",www.otis.com,"12,756",69000,Public,,5,0.2,,
"Keurig Dr Pepper",Beverages,"53 South Avenue",Plano,Texas,01803,"United States","(781) 418-7000",www.keurigdrpepper.com,"12,683",27500,Public,,4,0.8,,
"Ross Stores",Retail,"5130 Hacienda Drive",Dublin,California,94568,"United States","(925) 965-4400",www.rossstores.com,"12,532",93700,Public,,,,,
